Title,Year,genres,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
Beneath Hill 60,2010,Drama|History|War,English,Australia,R,122,2.35,9000000,,Jeremy Sims,Harrison Gilbertson,Gyton Grantley,Steve Le Marquand,5741,39,17,7.1
Beyond the Black Rainbow,2010,Sci-Fi|Thriller,English,Canada,R,110,2.35,1100000,56129,Panos Cosmatos,Chris Gauthier,Marilyn Norry,Eva Bourne,6555,82,97,6.1
Biutiful,2010,Drama,Spanish,Mexico,R,148,2.35,,5100937,Alejandro G. Iñárritu,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,68885,127,288,7.5
Black Swan,2010,Drama|Thriller,English,USA,R,108,2.35,13000000,106952327,Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,551363,1140,669,8
Blood Done Sign My Name,2010,Drama,English,USA,PG-13,128,2.35,,82739,Jeb Stuart,Ricky Schroder,Nate Parker,Lee Norris,465,3,20,6.7
Blue Valentine,2010,Drama|Romance,English,USA,R,112,1.66,3500000,9701559,Derek Cianfrance,Ryan Gosling,Mike Vogel,John Doman,141425,283,377,7.4
Brighton Rock,2010,Crime|Drama|Thriller,English,UK,R,111,2.35,12000000,,Rowan Joffe,Sam Riley,Sean Harris,Geoff Bell,5013,59,136,5.7
Buried,2010,Drama|Mystery|Thriller,English,Spain,R,95,2.35,3000000,1028658,Rodrigo Cortés,Ryan Reynolds,Samantha Mathis,Erik Palladino,118684,447,363,7
Burlesque,2010,Drama|Music|Musical|Romance,English,USA,PG-13,119,2.35,55000000,39440655,Steve Antin,Eric Dane,Peter Gallagher,David Walton,61680,222,197,6.4
Ca$h,2010,Comedy|Crime|Thriller,English,USA,R,118,1.85,7000000,46451,Stephen Milburn Anderson,Chris Hemsworth,Mike Starr,Paul Sanchez,7663,38,27,6
Casino Jack,2010,Biography|Comedy|Crime|Drama,English,Canada,R,108,2.35,15000000,1039869,George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell,14757,51,117,6.2
Cats & Dogs: The Revenge of Kitty Galore,2010,Action|Comedy|Family|Fantasy,English,USA,PG,82,1.85,85000000,43575716,Brad Peyton,Jack McBrayer,Sean Hayes,Katt Williams,10233,63,91,4.3
Centurion,2010,Action|Adventure|Drama|History|Thriller|War,English,UK,R,97,2.35,,122288,Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,64777,201,195,6.4
Charlie St. Cloud,2010,Drama|Fantasy|Romance,English,USA,PG-13,99,2.35,44000000,31136950,Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,47364,75,117,6.5
Christmas Mail,2010,Comedy|Drama|Family|Romance,English,USA,TV-PG,89,,2500000,,John Murlowski,Ashley Scott,Piper Mackenzie Harris,Lochlyn Munro,858,7,2,5.8
Clash of the Titans,2010,Action|Adventure|Fantasy,English,USA,PG-13,106,2.35,125000000,163192114,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,229679,637,344,5.8
Clash of the Titans,2010,Action|Adventure|Fantasy,English,USA,PG-13,106,2.35,125000000,163192114,Louis Leterrier,Liam Neeson,Jason Flemyng,Alexa Davalos,229687,637,344,5.8
Cop Out,2010,Action|Comedy|Crime,English,USA,R,107,2.35,37000000,44867349,Kevin Smith,Bruce Willis,Tracy Morgan,Kevin Pollak,75347,176,203,5.6
Country Strong,2010,Drama|Music,English,Official site,PG-13,117,2.35,15000000,20218921,Shana Feste,Leighton Meester,Cinda McCain,Tim McGraw,14814,114,135,6.3
Cyrus,2010,Comedy|Drama|Romance,English,USA,R,91,1.85,7000000,7455447,Jay Duplass,Matt Walsh,Tim Guinee,Katie Aselton,29967,126,223,6.3
Date Night,2010,Comedy|Crime|Romance|Thriller,English,USA,PG-13,101,2.35,55000000,98711404,Shawn Levy,Mila Kunis,James Franco,Steve Carell,127571,207,247,6.3
Dear John,2010,Drama|Romance|War,English,USA,PG-13,108,2.35,25000000,80014842,Lasse Hallström,Channing Tatum,Henry Thomas,Scott Porter,104356,186,162,6.3
Death Calls,2010,Action|Adventure|Mystery|Romance|Thriller,English,USA,R,90,1.85,290000,,Ken Del Conte,Hector Echavarria,Robert Miano,Ron Roggé,30,,,4.3
Despicable Me,2010,Animation|Comedy|Family,English,USA,PG,87,1.85,69000000,251501645,Pierre Coffin,Steve Carell,Miranda Cosgrove,Jack McBrayer,385943,296,304,7.7
Devil,2010,Horror|Mystery|Thriller,English,USA,PG-13,80,2.35,10000000,33583175,John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,104089,319,273,6.3
Diary of a Wimpy Kid,2010,Comedy|Family,English,USA,PG,94,1.85,15000000,64001297,Thor Freudenthal,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,32002,103,111,6.2
Dinner for Schmucks,2010,Comedy,English,USA,PG-13,114,1.85,,72980108,Jay Roach,Steve Carell,Stephanie Szostak,Bruce Greenwood,80338,264,190,5.9
Don't Be Afraid of the Dark,2010,Fantasy|Horror|Thriller,English,USA,R,99,1.85,25000000,24042490,Troy Nixey,Bailee Madison,Alan Dale,Jack Thompson,40776,250,298,5.6
Due Date,2010,Comedy|Drama,English,USA,R,95,2.35,65000000,100448498,Todd Phillips,Robert Downey Jr.,RZA,Matt Walsh,272789,285,307,6.6
Dylan Dog: Dead of Night,2010,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,English,USA,PG-13,107,2.35,20000000,1183354,Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,13026,75,138,5.1
Easy A,2010,Comedy|Romance,English,USA,PG-13,92,1.85,8000000,58401464,Will Gluck,Emma Stone,Dan Byrd,Fred Armisen,276746,264,262,7.1
Easy Money,2010,Action|Crime|Drama|Thriller,Swedish,Sweden,R,124,2.35,,188870,Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,13443,25,90,6.7
Eat Pray Love,2010,Drama|Romance,English,USA,PG-13,140,1.85,60000000,80574010,Ryan Murphy,James Franco,Julia Roberts,Billy Crudup,63493,302,213,5.7
Edge of Darkness,2010,Crime|Drama|Mystery|Thriller,English,UK,R,117,2.35,80000000,43290977,Martin Campbell,Bojana Novakovic,Ray Winstone,Denis O'Hare,75201,256,258,6.6
Everything Must Go,2010,Comedy|Drama,English,USA,R,97,2.35,5000000,2711210,Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,40305,86,155,6.4
Extraordinary Measures,2010,Drama,English,USA,PG,106,1.85,31000000,11854694,Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,14281,64,126,6.5
Fair Game,2010,Biography|Drama|Thriller,English,USA,PG-13,108,2.35,22000000,9528092,Doug Liman,Naomi Watts,Ty Burrell,Brooke Smith,38513,127,214,6.8
Faster,2010,Action|Crime|Drama|Thriller,English,USA,R,98,2.35,24000000,23225911,George Tillman Jr.,Dwayne Johnson,Tom Berenger,Mike Epps,80574,157,196,6.5
"Fat, Sick & Nearly Dead",2010,Documentary,English,Australia,,97,,2500000,,Joe Cross,Joe Cross,Joel Fuhrman,Amy Badberg,6429,25,13,7.6
Flipped,2010,Comedy|Drama|Romance,English,USA,PG,90,1.85,14000000,1752214,Rob Reiner,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,60460,104,87,7.7
For Colored Girls,2010,Drama,English,USA,R,133,1.85,,37721949,Tyler Perry,Omari Hardwick,Loretta Devine,Kimberly Elise,6067,73,75,6
Four Lions,2010,Comedy|Crime|Drama,English,UK,R,97,1.85,,304137,Christopher Morris,Kayvan Novak,Riz Ahmed,Alex Macqueen,55982,148,246,7.3
Freakonomics,2010,Documentary,English,USA,PG-13,93,,3000000,100675,Heidi Ewing,Greg Crowe,James Ransone,Tempestt Bledsoe,5695,23,73,6.4
From Paris with Love,2010,Action|Thriller,English,France,R,92,2.35,52000000,23324666,Pierre Morel,Kasia Smutniak,Amber Rose Revah,Rebecca Dayan,97775,211,203,6.5
Furry Vengeance,2010,Comedy|Family,English,USA,PG,92,1.85,35000000,17596256,Roger Kumble,Brendan Fraser,Brooke Shields,Matt Prokop,12399,84,101,3.8
Get Him to the Greek,2010,Comedy|Music,English,USA,R,114,1.85,,60923325,Nicholas Stoller,Pink,Mario Lopez,Lino Facioli,147317,197,222,6.4
Going the Distance,2010,Comedy|Romance,English,USA,R,102,2.35,32000000,17797316,Nanette Burstein,Rob Riggle,Kelli Garner,Jim Gaffigan,50523,113,167,6.3
Good Intentions,2010,Comedy,English,USA,PG-13,84,,10000000,,Jim Issa,Elaine Hendrix,Luke Perry,Jon Gries,553,3,4,5.2
Green Zone,2010,Action|Drama|Thriller|War,English,France,R,115,2.35,100000000,35024475,Paul Greengrass,Matt Damon,Sean Huze,Igal Naor,110364,261,266,6.9
Griff the Invisible,2010,Comedy|Drama|Romance|Sci-Fi,English,Australia,PG-13,90,1.85,,,Leon Ford,Maeve Dermody,Patrick Brammall,Kelly Paterniti,4173,32,57,6.1
Grown Ups,2010,Comedy,English,USA,PG-13,102,1.85,80000000,162001186,Dennis Dugan,Steve Buscemi,Adam Sandler,Salma Hayek,181443,311,179,6
Gulliver's Travels,2010,Adventure|Comedy|Family|Fantasy,English,USA,PG,85,2.35,112000000,42776259,Rob Letterman,James Corden,Catherine Tate,Olly Alexander,53160,121,184,4.9
Gunless,2010,Action|Comedy|Drama|Western,English,Canada,,89,2.35,10000000,,William Phillips,Tyler Mane,Callum Rennie,Dustin Milligan,3015,27,15,6.5
Harry Potter and the Deathly Hallows: Part I,2010,Fantasy,English,UK,,,,,,Matt Birch,Rupert Grint,Toby Jones,Alfred Enoch,252,2,4,6.4
Hereafter,2010,Drama|Fantasy,English,USA,PG-13,129,2.35,50000000,32741596,Clint Eastwood,Matt Damon,Jay Mohr,Cécile De France,80140,323,315,6.5
Hesher,2010,Drama,English,USA,R,106,2.35,7000000,382946,Spencer Susser,Joseph Gordon-Levitt,Natalie Portman,Rainn Wilson,43965,99,134,7.1
Hot Tub Time Machine,2010,Comedy|Sci-Fi,English,USA,R,101,1.85,36000000,50213619,Steve Pink,Charlie McDermott,Collette Wolfe,Crystal Lowe,139184,243,265,6.4
Housefull,2010,Comedy,Hindi,India,,144,,,1165104,Sajid Khan,Arjun Rampal,Boman Irani,Riteish Deshmukh,8598,43,10,5.3
How Do You Know,2010,Comedy|Drama|Romance,English,USA,PG-13,121,1.85,120000000,30212620,James L. Brooks,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,35066,196,168,5.3
How to Train Your Dragon,2010,Adventure|Animation|Family|Fantasy,English,USA,PG,98,2.35,165000000,217387997,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,485430,492,288,8.2
I Spit on Your Grave,2010,Horror|Thriller,English,USA,R,105,2.35,2000000,92401,Steven R. Monroe,Sarah Butler,Chad Lindberg,Daniel Franzese,56402,209,225,6.3
I Want Your Money,2010,Documentary,English,USA,PG,92,1.78,400000,425899,Ray Griggs,Bill Farmer,Chris Cox,Mike Huckabee,1123,31,4,5.1
Incendies,2010,Drama|Mystery|War,French,Canada,R,139,1.85,6800000,6857096,Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Ahmad Massad,80429,156,226,8.2
Inception,2010,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,148,2.35,160000000,292568851,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,1468200,2803,642,8.8
Inside Job,2010,Crime|Documentary,English,USA,PG-13,105,2.35,,4311834,Charles Ferguson,Matt Damon,George W. Bush,Barney Frank,55382,129,171,8.3
Insidious,2010,Fantasy|Horror|Mystery|Thriller,English,USA,PG-13,103,2.35,1500000,53991137,James Wan,Lin Shaye,Barbara Hershey,Philip Friedman,202800,752,445,6.8
Iron Man 2,2010,Action|Adventure|Sci-Fi,English,USA,PG-13,124,2.35,200000000,312057433,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,522371,723,453,7
It's a Wonderful Afterlife,2010,Comedy|Drama|Horror|Romance,English,UK,PG-13,100,2.35,10000000,,Gurinder Chadha,Sendhil Ramamurthy,Mark Addy,Shabana Azmi,1250,16,31,5.4
It's Kind of a Funny Story,2010,Comedy|Drama|Romance,English,USA,PG-13,101,1.85,8000000,6350058,Anna Boden,Zoë Kravitz,Jeremy Davies,Jim Gaffigan,106098,150,163,7.2
Jackass 3D,2010,Action|Comedy|Documentary,English,USA,R,101,1.78,20000000,117224271,Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,47794,81,156,7.1
Jonah Hex,2010,Action|Drama|Fantasy|Thriller|Western,English,USA,PG-13,81,2.35,47000000,10539414,Jimmy Hayward,Michael Fassbender,Billy Blair,Julia Jones,45729,176,178,4.7
Just Wright,2010,Comedy|Romance|Sport,English,USA,PG,100,2.35,,21520719,Sanaa Hamri,Common,Laz Alonso,Mehcad Brooks,10103,36,70,5.8
Kick-Ass,2010,Action|Comedy,English,UK,R,117,2.35,30000000,48043505,Matthew Vaughn,Elizabeth McGovern,Deborah Twiss,Michael Rispoli,435864,801,447,7.7
Killers,2010,Action|Comedy|Romance|Thriller,English,USA,PG-13,100,2.35,75000000,47000485,Robert Luketic,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,72867,120,140,5.4
Kites,2010,Action|Drama|Romance|Thriller,English,India,,90,,600000000,1602466,Anurag Basu,Bárbara Mori,Steven Michael Quezada,Kabir Bedi,9673,106,41,6
Knight and Day,2010,Action|Comedy|Romance,English,USA,PG-13,117,2.35,117000000,76418654,James Mangold,Tom Cruise,Marc Blucas,Jordi Mollà,148280,348,283,6.3
Leap Year,2010,Comedy|Romance,English,USA,PG,100,2.35,19000000,12561,Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,71276,181,134,6.4
Legend of the Guardians: The Owls of Ga'Hoole,2010,Action|Adventure|Animation|Family|Fantasy,English,USA,PG,101,2.35,80000000,55673333,Zack Snyder,Abbie Cornish,Richard Roxburgh,Anthony LaPaglia,65785,160,188,7
Legion,2010,Action|Fantasy|Horror,English,USA,R,100,2.35,26000000,40168080,Scott Stewart,Dennis Quaid,Kate Walsh,Charles S. Dutton,80870,315,226,5.2
Let Me In,2010,Drama|Fantasy|Horror|Mystery,English,UK,R,116,2.35,20000000,12134420,Matt Reeves,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,92237,366,390,7.2
Letters to God,2010,Drama|Family,English,USA,PG,110,1.78,3500000,2848578,David Nixon,Robyn Lively,Michael Bolten,Christopher Schmidt,3942,65,19,6.3
Letters to Juliet,2010,Comedy|Drama|Romance,English,USA,PG,105,2.35,30000000,53021560,Gary Winick,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,74630,156,159,6.5
Lies in Plain Sight,2010,Drama,English,USA,TV-PG,89,1.78,2100000,,Patricia Cardoso,Rosie Perez,Martha Higareda,Cheyenne Haynes,544,4,,6.3
Little Fockers,2010,Comedy|Romance,English,USA,PG-13,98,1.85,100000000,148383780,Paul Weitz,Robert De Niro,Blythe Danner,Teri Polo,85531,152,180,5.5
Little White Lies,2010,Comedy|Drama,French,France,Not Rated,134,2.35,25000000,183662,Guillaume Canet,François Cluzet,Benoît Magimel,Gilles Lellouche,18395,48,118,7.1
Loose Cannons,2010,Comedy|Drama|Romance,Italian,Italy,,110,2.35,,,Ferzan Ozpetek,Riccardo Scamarcio,Alessandro Preziosi,Lunetta Savino,8667,29,81,7.3
Lottery Ticket,2010,Comedy,English,USA,PG-13,99,2.35,,24708699,Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,7991,30,62,4.9
Love & Other Drugs,2010,Comedy|Drama|Romance,English,USA,R,112,1.85,30000000,32357532,Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Judy Greer,143368,215,219,6.7
Love Ranch,2010,Comedy|Drama|Romance|Sport,English,USA,R,117,1.78,25000000,134904,Taylor Hackford,Scout Taylor-Compton,Bai Ling,Gil Birmingham,2395,17,49,5.7
MacGruber,2010,Action|Comedy|Romance,English,USA,R,95,2.35,10000000,8460995,Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,35888,125,163,5.5
Machete,2010,Action|Crime|Thriller,English,USA,R,105,1.85,10500000,26589953,Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,165792,392,391,6.7
Made in Dagenham,2010,Biography|Comedy|Drama|History,English,UK,R,113,2.35,7200000,1094798,Nigel Cole,Bob Hoskins,Robbie Kay,Sally Hawkins,11158,73,163,7.2
Marmaduke,2010,Comedy|Family,English,USA,PG,87,2.35,50000000,33643461,Tom Dey,Emma Stone,Judy Greer,Steve Coogan,11257,65,98,4.2
Meek's Cutoff,2010,Drama|Western,English,USA,PG,104,1.33,,977600,Kelly Reichardt,Bruce Greenwood,Zoe Kazan,Shirley Henderson,8204,98,200,6.5
Megamind,2010,Action|Animation|Comedy|Family|Sci-Fi,English,USA,PG,95,2.35,130000000,148337537,Tom McGrath,J.K. Simmons,Brad Pitt,Will Ferrell,172754,187,233,7.3
Monsters,2010,Drama|Sci-Fi|Thriller,English,UK,R,94,2.35,500000,237301,Gareth Edwards,Scoot McNairy,Whitney Able,Ricky Catter,75669,451,344,6.4
Mooz-Lum,2010,Drama|Family,English,USA,PG-13,94,,,,Qasim Basir,Dorian Missick,Nia Long,Evan Ross,919,14,8,6.7
Morning Glory,2010,Comedy|Drama|Romance,English,USA,PG-13,107,2.35,40000000,30993544,Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,58871,156,212,6.5
Mozart's Sister,2010,Biography|Drama|Music|Romance,French,France,,120,1.85,,706622,René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,1213,17,50,6.4
My Name Is Khan,2010,Adventure|Drama|Thriller,Hindi,India,PG-13,128,2.35,12000000,4018695,Karan Johar,Shah Rukh Khan,Jimmy Shergill,Christopher B. Duncan,69759,235,210,8
My Soul to Take,2010,Horror|Mystery|Thriller,English,USA,R,107,2.35,25000000,14637490,Wes Craven,Frank Grillo,Emily Meade,Zena Grey,16411,136,160,4.8
My Soul to Take,2010,Horror|Mystery|Thriller,English,USA,R,107,2.35,25000000,14637490,Wes Craven,Frank Grillo,Emily Meade,Zena Grey,16411,136,160,4.8
Nanny McPhee Returns,2010,Comedy|Family|Fantasy,English,UK,PG,109,2.35,35000000,28995450,Susanna White,Daniel Mays,Bill Bailey,Eros Vlahos,19230,59,97,6.1
Never Let Me Go,2010,Drama|Romance|Sci-Fi,English,UK,R,103,2.35,15000000,2412045,Mark Romanek,Andrew Garfield,Charlie Rowe,Charlotte Rampling,109873,320,328,7.2
Nine Dead,2010,Crime|Drama|Horror|Mystery|Thriller,English,USA,R,83,2.35,2000000,,Chris Shadley,Daniel Baldwin,William Lee Scott,Marc Macaulay,9280,64,25,5.5
N-Secure,2010,Crime|Drama|Thriller,English,USA,R,,2.35,,2592808,David M. Matthews,Essence Atkins,Lamman Rucker,Tempestt Bledsoe,548,15,5,3.5
Of Gods and Men,2010,Drama,French,France,PG-13,122,2.35,4000000,3950029,Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,12411,89,195,7.2
Our Family Wedding,2010,Comedy|Romance,English,USA,PG-13,103,2.35,14000000,20246959,Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,5721,20,71,4.9
Paranormal Activity 2,2010,Horror,English,USA,R,98,1.85,3000000,84749884,Tod Williams,Sprague Grayden,Molly Ephraim,Micah Sloat,82133,359,264,5.7
Percy Jackson & the Olympians: The Lightning Thief,2010,Adventure|Family|Fantasy,English,UK,PG,118,2.35,95000000,88761720,Chris Columbus,Logan Lerman,Rosario Dawson,Steve Coogan,141179,419,217,5.9
Piranha 3D,2010,Comedy|Horror,English,USA,R,88,2.35,24000000,25003072,Alexandre Aja,Adam Scott,Kelly Brook,Jessica Szohr,72552,374,365,5.5
Please Give,2010,Comedy|Drama,English,USA,R,90,2.35,,4033268,Nicole Holofcener,Oliver Platt,Thomas Ian Nicholas,Ann Morgan Guilbert,9808,53,133,6.6
Predators,2010,Action|Adventure|Sci-Fi|Thriller,English,USA,R,107,2.35,40000000,52000688,Nimród Antal,Topher Grace,Alice Braga,Derek Mears,171418,619,351,6.4
Prince of Persia: The Sands of Time,2010,Action|Adventure|Fantasy|Romance,English,USA,PG-13,116,2.35,200000000,90755643,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,222403,453,306,6.6
Rabbit Hole,2010,Drama,English,USA,PG-13,91,1.85,5000000,2221809,John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,40618,144,248,7
Ramona and Beezus,2010,Adventure|Comedy|Family|Fantasy,English,USA,G,103,2.35,15000000,26161406,Elizabeth Allen Rosenbaum,Sierra McCormick,Hutch Dano,Jason Spevack,13874,52,81,6.7
RED,2010,Action|Comedy|Crime|Thriller,English,USA,PG-13,111,2.35,58000000,90356857,Robert Schwentke,Bruce Willis,Morgan Freeman,Jaqueline Fleming,238916,328,315,7.1
Redemption Road,2010,Drama,English,USA,PG-13,95,2.35,,27012,Mario Van Peebles,Tom Skerritt,Cinda McCain,Luke Perry,440,9,12,5.9
Reign of Assassins,2010,Action,Mandarin,China,R,117,2.35,12000000,,Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,6069,34,50,6.9
Remember Me,2010,Drama|Romance,English,USA,PG-13,113,1.85,16000000,19057024,Allen Coulter,Robert Pattinson,Lena Olin,Ruby Jerins,113963,361,158,7.2
Repo Men,2010,Action|Crime|Sci-Fi|Thriller,English,USA,R,119,2.35,32000000,13763130,Miguel Sapochnik,Alice Braga,RZA,Yvette Nicole Brown,87768,187,197,6.3
Resident Evil: Afterlife,2010,Action|Adventure|Horror|Sci-Fi,English,Germany,R,97,2.35,60000000,60128566,Paul W.S. Anderson,Milla Jovovich,Boris Kodjoe,Shawn Roberts,131447,410,253,5.9
Robin Hood,2010,Action|Adventure|Drama|History,English,USA,PG-13,156,2.35,200000000,105219735,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,211765,546,343,6.7
Rubber,2010,Comedy|Fantasy|Horror,English,France,R,82,1.85,500000,98017,Quentin Dupieux,Haley Ramm,Jack Plotnick,Cecelia Antoinette,26185,170,230,5.8
Rust,2010,Drama,English,Canada,PG,95,1.78,250000,,Corbin Bernsen,Corbin Bernsen,Lorne Cardinal,Kirsten Collins,300,8,3,5.7
Salt,2010,Action|Crime|Mystery|Thriller,English,USA,PG-13,101,2.35,110000000,118311368,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl,245621,514,330,6.4
Sarah's Key,2010,Drama|War,French,France,PG-13,111,2.35,10000000,7691700,Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,12937,73,136,7.5
Saw 3D: The Final Chapter,2010,Horror|Mystery,English,Canada,R,90,1.85,20000000,45670855,Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,67978,279,178,5.6
Scott Pilgrim vs. the World,2010,Action|Comedy|Fantasy|Romance,English,USA,PG-13,112,1.85,60000000,31494270,Edgar Wright,Anna Kendrick,Kieran Culkin,Ellen Wong,273921,522,393,7.5
Sea Rex 3D: Journey to a Prehistoric World,2010,Documentary,English,UK,,41,1.78,5000000,4074023,Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,296,4,7,6.9
Secretariat,2010,Biography|Drama|Family|History|Sport,English,USA,PG,123,2.35,35000000,59699513,Randall Wallace,Scott Glenn,Kevin Connolly,Dylan Walsh,20827,136,160,7.2
Sex and the City 2,2010,Comedy|Drama|Romance,English,USA,R,146,1.85,100000000,95328937,Michael Patrick King,Chris Noth,Liza Minnelli,Kristin Davis,59581,293,221,4.3
She's Out of My League,2010,Comedy|Romance,English,USA,R,104,2.35,20000000,31584722,Jim Field Smith,Mike Vogel,Kim Shaw,Geoff Stults,101730,131,180,6.4
Shrek Forever After,2010,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,93,2.35,165000000,238371987,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,138661,173,226,6.4
Shutter Island,2010,Mystery|Thriller,English,USA,R,138,2.35,80000000,127968405,Martin Scorsese,Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto,786092,964,490,8.1
Skyline,2010,Action|Sci-Fi|Thriller,English,USA,PG-13,97,2.35,10000000,21371425,Colin Strause,David Zayas,Donald Faison,Brittany Daniel,76199,944,221,4.4
Somewhere,2010,Comedy|Drama,English,USA,R,97,1.85,7000000,1768416,Sofia Coppola,Nathalie Fay,Chris Pontius,Erin Wasson,35848,198,301,6.3
Space Battleship Yamato,2010,Action|Adventure|Drama|Sci-Fi,Japanese,Japan,TV-14,138,2.35,12000000,,Takashi Yamazaki,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,4899,49,44,6.1
